date,count,count_positive,count_negative,quotient,count_mean_7,count_positive_mean_7,count_negative_mean_7,quotient_mean_7,incidence,hospitalizations,icu_ratio,icu_ratio_mean_7,phase
2022-01-31,78185,3009,75176,0.0384856430261559,74690.4285714286,2433.28571428571,72257.1428571429,0.0325782802539243,1338.9,10.22,0.0926454622220435,0.09216205836047488,Phase 7
2022-02-01,72361,2463,69898,0.034037672226752,74903.7142857143,2449.28571428571,72454.4285714286,0.0326991223017741,1362.7,10.37,0.09035638574457022,0.09142181352323528,Phase 7
2022-02-02,74898,2553,72345,0.0340863574461267,74851.5714285714,2472.57142857143,72379,0.0330329929135947,1407.7,10.72,0.09232920495405514,0.09114353301745509,Phase 7
2022-02-03,71938,2328,69610,0.0323611999221552,74738.7142857143,2468.14285714286,72270.5714285714,0.0330236194284469,1461.3,11.22,0.09035711432451865,0.09108127935609142,Phase 7
2022-02-04,71160,2380,68780,0.0334457560427206,73888.1428571429,2461.28571428571,71426.8571428571,0.0333109700570554,1506.9,11.78,0.0924359642441977,0.09137423026437565,Phase 7
2022-02-05,72575,2206,70369,0.0303961419221495,73322,2475.14285714286,70846.8571428571,0.0337571650683677,1533.2,12.15,0.09310024627558641,0.09186852995246918,Phase 7
2022-02-06,64381,2243,62138,0.0348394712725804,72214,2454.57142857143,69759.4285714286,0.0339902432848399,1543.4,12.29,0.09492363164931329,0.092306858487755,Phase 7
2022-02-07,73974,2929,71045,0.0395949928353205,71612.4285714286,2443.14285714286,69169.2857142857,0.0341161849399645,1553.1,12.39,0.09576999072543248,0.09275321970252484,Phase 7
2022-02-08,66774,2390,64384,0.0357923742774134,70814.2857142857,2432.71428571429,68381.5714285714,0.0343534395803914,1575.8,12.75,0.09592941648285543,0.0935493669508513,Phase 7
2022-02-09,68862,2337,66525,0.0339374400975865,69952,2401.85714285714,67550.1428571429,0.034335789439289,1600,13.09,0.09601057438115837,0.0940752768690089,Phase 7
2022-02-10,65336,2125,63211,0.032524182686421,69008.8571428571,2372.85714285714,66636,0.0343848201680116,1609.5,13.15,0.0958246680531115,0.0948563559730936,Phase 7
2022-02-11,65035,2076,62959,0.0319212731606058,68133.8571428571,2329.42857142857,65804.4285714286,0.0341890019017187,1601.1,13.06,0.09643244110919379,0.09542728123952161,Phase 7
2022-02-12,66246,1813,64433,0.0273676901246868,67229.7142857143,2273.28571428571,64956.4285714286,0.0338137048243974,1597.3,12.99,0.09711561767795104,0.0960009057255737,Phase 7
2022-02-13,63882,2138,61744,0.0334679565448796,67158.4285714286,2258.28571428571,64900.1428571429,0.0336262441263622,1584.4,12.88,0.09878549088102685,0.09655259990153278,Phase 7
2022-02-14,70420,2474,67946,0.0351320647543312,66650.7142857143,2193.28571428571,64457.4285714286,0.0329071599275541,1573.9,12.8,0.09982656394950187,0.09713211036211412,Phase 7
2022-02-15,62871,2274,60597,0.0361692990408933,66093.1428571429,2176.71428571429,63916.4285714286,0.0329340411367507,1550.7,12.68,0.10034949584220464,0.09776355027059258,Phase 7
2022-02-16,59815,2280,57535,0.0381175290478977,64800.7142857143,2168.57142857143,62632.1428571429,0.0334652395806925,1524.3,12.63,0.09891826923076923,0.09817893524910842,Phase 7
2022-02-17,52443,1795,50648,0.0342276376256126,62958.8571428571,2121.42857142857,60837.4285714286,0.0336954745956543,1503.5,12.68,0.09917852133840914,0.09865805714700808,Phase 7
2022-02-18,53196,1812,51384,0.0340627114820663,61267.5714285714,2083.71428571429,59183.8571428571,0.0340100682486424,1483.3,12.74,0.09810789049919484,0.09889740705986537,Phase 7
2022-02-19,56121,1631,54490,0.0290622048787441,59821.1428571429,2057.71428571429,57763.4285714286,0.034397776228185,1450.1,12.72,0.09788199084760864,0.09900688894124503,Phase 7
2022-02-20,54075,1886,52189,0.0348774849745724,58420.1428571429,2021.71428571429,56398.4285714286,0.0346064591224651,1447,12.81,0.0974398632422972,0.0988146564214265,Phase 7
2022-02-21,58021,2251,55770,0.0387962978921425,56648.8571428571,1989.85714285714,54659,0.0351261657024981,1435,12.89,0.09769905778640463,0.09851072696955547,Phase 7
2022-02-22,55805,1985,53820,0.0355702894005913,55639.4285714286,1948.57142857143,53690.8571428571,0.0350214133861907,1412,12.99,0.09644710900092544,0.09795324313508702,Phase 7
2022-02-23,59023,2077,56946,0.0351896718228487,55526.2857142857,1919.57142857143,53606.7142857143,0.0345704994288419,1399.8,12.85,0.09641751437417072,0.09759599244128724,Phase 7
2022-02-24,64286,1709,62577,0.0265843262918831,57218.1428571429,1907.28571428571,55310.8571428571,0.0333335830043917,1373.5,12.74,0.09167536324957855,0.09652411271431142,Phase 7
2022-02-25,58574,1637,56937,0.0279475535220405,57986.4285714286,1882.28571428571,56104.1428571429,0.0324607974772422,1345.6,12.56,0.09194986743793686,0.09564439513413171,Phase 7
2022-02-26,69303,1605,67698,0.0231591705986754,59869.5714285714,1878.57142857143,57991,0.0313777330244078,1337,12.49,0.09142926710494279,0.09472257745660803,Phase 7
2022-02-27,54266,1665,52601,0.0306821951129621,59896.8571428571,1847,58049.8571428571,0.0308363424744442,1323.7,12.47,0.09136869572308069,0.09385526781100567,Phase 7
2022-02-28,63521,2295,61226,0.0361297838510099,60682.5714285714,1853.28571428571,58829.2857142857,0.0305406588853472,1313.2,12.34,0.09179113490881276,0.09301127882849254,Phase 7
2022-03-01,55175,2550,52625,0.0462165835976439,60592.5714285714,1934,58658.5714285714,0.0319181040580175,1300,12.1,0.09194293751255776,0.09236782575872574,Phase 7
2022-03-02,53915,2908,51007,0.0539367522952796,59862.8571428571,2052.71428571429,57810.1428571429,0.0342902825505918,1270.1,11.96,0.08848596928519739,0.0912347478888724,Phase 7
2022-03-03,51347,2709,48638,0.0527586811303484,58014.4285714286,2195.57142857143,55818.8571428571,0.0378452650941515,1266.7,11.91,0.08641182139415354,0.09048281333809739,Phase 7
2022-03-04,54913,2572,52341,0.0468377251288402,57491.4285714286,2329.14285714286,55162.2857142857,0.0405128714839479,1294,12,0.085108099386899,0.08950541790223485,Phase 7
2022-03-05,53485,2347,51138,0.0438814620921754,55231.7142857143,2435.14285714286,52796.5714285714,0.0440895758647982,1316.1,12.02,0.08537327974668128,0.08864027685105463,Phase 7
2022-03-06,46374,2487,43887,0.0536291887695692,54104.2857142857,2552.57142857143,51551.7142857143,0.0471787289097774,1332.5,11.97,0.08582150432370697,0.08784782093685839,Phase 7
