lag,ccf,p_value,p_value_bh,phase,target
-3,-0.0014035743540245624,0.9827608493547194,0.9827608493547194,Phase 8,incidence
-2,0.13684140955082022,0.03514821354672413,0.3022746365018275,Phase 8,incidence
-1,0.475022811988768,2.614702118211675e-13,1.1243219108310202e-11,Phase 8,incidence
0,-0.2782728437206412,1.835992562835703e-5,3.947384010096762e-4,Phase 8,incidence
1,-0.20500201194402637,0.00159967583852228,0.02292868701881935,Phase 8,incidence
2,-0.015518137816911123,0.811184137446243,0.974305618632234,Phase 8,incidence
3,-0.0343086837800508,0.597377551003017,0.974305618632234,Phase 8,incidence
4,0.09242830982407618,0.1547605818610963,0.642910791451603,Phase 8,incidence
5,0.11649230483566626,0.07291278453178861,0.4478928192667015,Phase 8,incidence
6,-0.00526322858639405,0.935420977905527,0.974305618632234,Phase 8,incidence
7,0.09010732026261453,0.16538549137099484,0.642910791451603,Phase 8,incidence
8,-0.08786901594905493,0.1761430831887048,0.642910791451603,Phase 8,incidence
9,0.027517962854524642,0.6718330081512551,0.974305618632234,Phase 8,incidence
10,0.01429091379184366,0.8258666209908849,0.974305618632234,Phase 8,incidence
11,-0.02867326065121986,0.6589095181742639,0.974305618632234,Phase 8,incidence
12,0.07776104131722111,0.23126133873363822,0.6888125414679376,Phase 8,incidence
13,0.07373748749678463,0.2563023410113256,0.6888125414679376,Phase 8,incidence
14,0.06255252731282272,0.3355555941077251,0.7594152919280095,Phase 8,incidence
15,-0.05901089884113296,0.3636345829525301,0.7818143533479397,Phase 8,incidence
16,-0.09955752765372916,0.12535751564387718,0.642910791451603,Phase 8,incidence
17,-0.018952425049253326,0.7704633444211747,0.974305618632234,Phase 8,incidence
18,-0.040284704197674166,0.5351424878617921,0.9204450791222824,Phase 8,incidence
19,-0.06281828925758458,0.33350640676621635,0.7594152919280095,Phase 8,incidence
20,0.0872081471551121,0.1794169650562613,0.642910791451603,Phase 8,incidence
21,-0.03264303159856515,0.6152925864331413,0.974305618632234,Phase 8,incidence
-21,0.09562072386365637,0.1410040460059754,0.6990625986487254,Phase 8,hospitalizations
-20,-0.08446210790863441,0.1935058344211126,0.6990625986487254,Phase 8,hospitalizations
-19,0.002870859304914344,0.9647479176158923,0.9877181061305563,Phase 8,hospitalizations
-18,0.05799603261277892,0.371944161816951,0.7894682895821592,Phase 8,hospitalizations
-17,-0.057027151841974724,0.3799861342646547,0.7894682895821592,Phase 8,hospitalizations
-16,0.015579640273982724,0.8104500219948523,0.9877181061305563,Phase 8,hospitalizations
-15,-0.031121623597438877,0.6318594474592989,0.9056652080249951,Phase 8,hospitalizations
-14,0.09999464716860332,0.12370715565668684,0.6990625986487254,Phase 8,hospitalizations
-13,0.013971712587543976,0.8296957615402293,0.9877181061305563,Phase 8,hospitalizations
-12,-0.052759919039909474,0.4166604546346211,0.7985827919837157,Phase 8,hospitalizations
-11,-0.0061294955078600895,0.9248212957219788,0.9877181061305563,Phase 8,hospitalizations
-10,-0.04415890494356149,0.4966198975072741,0.8053842845967475,Phase 8,hospitalizations
-9,0.09127642880775404,0.15996693919555124,0.6990625986487254,Phase 8,hospitalizations
-8,0.14368183384942562,0.026969863106687638,0.28992602839689213,Phase 8,hospitalizations
-7,-0.06533877517691002,0.31447442469538206,0.755531948565248,Phase 8,hospitalizations
-6,-0.009362402511146044,0.8853959561767092,0.9877181061305563,Phase 8,hospitalizations
-5,-0.047617953534044806,0.4635162995555676,0.8053842845967475,Phase 8,hospitalizations
-4,-0.005623911714311,0.931006142608077,0.9877181061305563,Phase 8,hospitalizations
-3,0.011011252167077374,0.8653907313487412,0.9877181061305563,Phase 8,hospitalizations
-2,-0.051581030477316124,0.42714893524710373,0.7985827919837157,Phase 8,hospitalizations
-1,0.5265470151924341,5.227547673978437e-16,2.247845499810728e-14,Phase 8,hospitalizations
0,-0.18220015679631013,0.005032660882720613,0.10519008300509357,Phase 8,hospitalizations
1,-0.17415383572410667,0.0073388430003553645,0.10519008300509357,Phase 8,hospitalizations
2,0.0034789263778967007,0.9572878049535797,0.9877181061305563,Phase 8,hospitalizations
3,-0.07605214851831314,0.24167598378326569,0.7152989523523077,Phase 8,hospitalizations
4,0.0747985480704528,0.24952289035545616,0.7152989523523077,Phase 8,hospitalizations
5,0.06678856810899002,0.30385719908782377,0.755531948565248,Phase 8,hospitalizations
6,-0.0829367559932571,0.201674585576272,0.6990625986487254,Phase 8,hospitalizations
7,0.13786199754612094,0.03380764645504459,0.29074575951338344,Phase 8,hospitalizations
8,-0.05636368243211206,0.38555428095872896,0.7894682895821592,Phase 8,hospitalizations
9,0.038862885690977185,0.549648769232496,0.8149964509309423,Phase 8,hospitalizations
10,0.027603312652929368,0.6708748762246677,0.9305683766987327,Phase 8,hospitalizations
11,-0.04323134234349758,0.5057064112584229,0.8053842845967475,Phase 8,hospitalizations
12,0.03994330458723729,0.5386079780614921,0.8149964509309423,Phase 8,hospitalizations
13,0.010380583834322218,0.8730330649752129,0.9877181061305563,Phase 8,hospitalizations
14,0.08118823131340774,0.21134450656821932,0.6990625986487254,Phase 8,hospitalizations
15,0.00939594146112609,0.8849882601575251,0.9877181061305563,Phase 8,hospitalizations
16,-0.08224846797908855,0.2054418203942903,0.6990625986487254,Phase 8,hospitalizations
17,1.5986191758494793e-4,0.9980363738175526,0.9980363738175526,Phase 8,hospitalizations
18,-0.018620996830713922,0.7743676121552314,0.9877181061305563,Phase 8,hospitalizations
19,-0.12222653588876008,0.05988306322130817,0.42916195308604194,Phase 8,hospitalizations
20,0.04544298027432707,0.4841860199934741,0.8053842845967475,Phase 8,hospitalizations
21,-0.06509690200509453,0.31626918777149915,0.755531948565248,Phase 8,hospitalizations
-21,0.10644536881644918,0.10645717854971928,0.32697561983128065,Phase 8,icu_ratio_mean_7
-20,0.12180215505638235,0.06471509656255794,0.27827491521899916,Phase 8,icu_ratio_mean_7
-19,0.05777943797767552,0.3808840511135593,0.5849290784958232,Phase 8,icu_ratio_mean_7
-18,0.04764126890521904,0.46997752779301893,0.5986456440211902,Phase 8,icu_ratio_mean_7
-17,0.05893430184621512,0.37143803841914314,0.5849290784958232,Phase 8,icu_ratio_mean_7
-16,0.07913387730563373,0.23009092570373366,0.5454528143754644,Phase 8,icu_ratio_mean_7
-15,0.019006826809577815,0.7731532340950789,0.8697800084052382,Phase 8,icu_ratio_mean_7
-14,0.011882699558011814,0.8569876599109741,0.8987919360041924,Phase 8,icu_ratio_mean_7
-13,0.1092833966016406,0.097445749766582615,0.32697561983128065,Phase 8,icu_ratio_mean_7
